year,working_age_15_64,population_65_plus,old_age_dependency_ratio,source
2024,35431819,5320804,0.150170218,DANE PPED national population projections updated 2025-07-18
2050,37770667,10302006,0.272751498,DANE PPED national population projections updated 2025-07-18
