"scenario","old_age_dependency_ratio","social_security_spending_per_elderly","aging_spending_increase_initial_gdp","marginal_payroll_share","capital","output","formal_output","informal_output","consumption","investment","government_spending","government_share_output","formal_share","informal_share","payroll_tax","net_return","wage_formal","wage_informal","government_residual","resource_residual","euler_residual"
"Benchmark",0.150170218,0.428496320064233,0,0,2.5853655414599,1.12890150519725,0.796501505197248,0.332400000000002,0.909432186913413,0.155121932487594,0.0643473857962436,0.0570000000000003,0.445999999999997,0.554000000000003,0.060289198260189,0.0416666666666674,1.19653813561022,0.6,0,-8.32667268468867e-17,6.66133814775094e-16
"Broad-tax benchmark",0.272751498,0.428496320064233,0.0465280869473067,0,2.5853655414599,1.12890150519725,0.796501505197248,0.332400000000002,0.856906559524649,0.155121932487594,0.116873013185007,0.103528086947307,0.445999999999997,0.554000000000003,0.060289198260189,0.0416666666666674,1.19653813561022,0.6,-1.38777878078145e-17,-1.38777878078145e-16,6.66133814775094e-16
"Mixed financing",0.272751498,0.428496320064233,0.0465280869473067,0.5,2.24473308975,1.05921657533363,0.691559184215861,0.367657391117764,0.807659576763619,0.134683985385,0.116873013185007,0.110339109023285,0.387237681470393,0.612762318529607,0.126118875356807,0.0416666666666597,1.19653813561027,0.6,0,0,-6.77236045021345e-15
"Payroll-heavy financing",0.272751498,0.428496320064233,0.0465280869473067,0.75,1.99229758664622,1.00757454815577,0.613788650431412,0.393785897724363,0.771163679771995,0.119537855198773,0.116873013185007,0.115994407956143,0.343690170459395,0.656309829540605,0.174030232032144,0.0416666666666667,1.19653813561023,0.6,0,4.16333634234434e-17,0
