"cohort","life_stage","policy","i","weight","choice","pension_class","formal","wage","solidarity_eligible","consumption_young","consumption_old","experienced_utility","baseline_utility","welfare_cev"
-1,"old_at_reform","Fully funded system",0,0.000223648618482682,"informal","informal",FALSE,0.100335520900096,TRUE,NA,0.191694343312676,-2.9053529668705,-8.25365047422286,1.00584843737582
-1,"old_at_reform","Fully funded system",0.01,0.000530074028894635,"informal","informal",FALSE,0.103287852914032,TRUE,NA,0.194854850703463,-2.83495399491115,-7.90231365410931,0.980639785429196
-1,"old_at_reform","Fully funded system",0.02,0.000625857596014926,"informal","informal",FALSE,0.106327056100234,TRUE,NA,0.19810835474256,-2.76540447385302,-7.5659323450818,0.956151685881241
-1,"old_at_reform","Fully funded system",0.03,0.00073622950670148,"informal","informal",FALSE,0.109455686607718,TRUE,NA,0.20145759181863,-2.69672952924701,-7.24386992923112,0.93236354279686
-1,"old_at_reform","Fully funded system",0.04,0.000862878406729994,"informal","informal",FALSE,0.112676375799147,TRUE,NA,0.204905378837464,-2.62895292525889,-6.93551688784651,0.909255348945605
-1,"old_at_reform","Fully funded system",0.05,0.00100759191313581,"informal","informal",FALSE,0.115991832463965,TRUE,NA,0.208454615591165,-2.56209703833072,-6.64028964787192,0.88680766897441
-1,"old_at_reform","Fully funded system",0.06,0.00117224512608808,"informal","informal",FALSE,0.119404845096644,TRUE,NA,0.212108287197039,-2.49618283530876,-6.35762947746582,0.865001623061314
-1,"old_at_reform","Fully funded system",0.07,0.00135878545245099,"informal","informal",FALSE,0.122918284241979,TRUE,NA,0.215869466608262,-2.43122985604315,-6.08700142857411,0.843818871036417
-1,"old_at_reform","Fully funded system",0.08,0.00156921348536889,"informal","informal",FALSE,0.126535104909378,TRUE,NA,0.219741317198407,-2.36725620044095,-5.82789332451508,0.82324159695672
-1,"old_at_reform","Fully funded system",0.09,0.00180555975146526,"informal","informal",FALSE,0.130258349058204,TRUE,NA,0.223727095422037,-2.30427851993132,-5.57981479066017,0.80325249412186
-1,"old_at_reform","Fully funded system",0.1,0.00206985722142662,"informal","informal",FALSE,0.134091148156242,TRUE,NA,0.227830153553564,-2.24231201327944,-5.34229632637632,0.783834750518159
-1,"old_at_reform","Fully funded system",0.11,0.00236410958058029,"informal","informal",FALSE,0.138036725813444,TRUE,NA,0.232053942506719,-2.18137042666459,-5.11488841647327,0.764972034678735
-1,"old_at_reform","Fully funded system",0.12,0.00269025537259384,"informal","informal",FALSE,0.14209840049318,TRUE,NA,0.23640201473697,-2.12146605791803,-4.8971606804743,0.746648481947763
-1,"old_at_reform","Fully funded system",0.13,0.0030501282598838,"informal","informal",FALSE,0.146279588303256,TRUE,NA,0.240878027229344,-2.06260976479744,-4.68870105810037,0.728848681137375
-1,"old_at_reform","Fully funded system",0.14,0.00344541378616971,"informal","informal",FALSE,0.150583805869069,TRUE,NA,0.245485744574172,-2.00481097715743,-4.48911502942606,0.711557661565937
-1,"old_at_reform","Fully funded system",0.15,0.0038776031764757,"informal","informal",FALSE,0.155014673291288,TRUE,NA,0.250229042133327,-1.94807771285983,-4.29802486823153,0.694760880466829
-1,"old_at_reform","Fully funded system",0.16,0.00434794486360459,"informal","informal",FALSE,0.159575917190579,TRUE,NA,0.255111909299636,-1.89241659725303,-4.11506892713741,0.678444210757113
-1,"old_at_reform","Fully funded system",0.17,0.00485739458280167,"informal","informal",FALSE,0.164271373841909,TRUE,NA,0.260138452852189,-1.83783288603705,-3.93990095316955,0.662593929155832
-1,"old_at_reform","Fully funded system",0.18,0.00540656502249209,"informal","informal",FALSE,0.16910499240108,TRUE,NA,0.265312900410387,-1.78433049132007,-3.77218943245855,0.647196704641916
-1,"old_at_reform","Fully funded system",0.19,0.00599567615266305,"informal","informal",FALSE,0.174080838226201,TRUE,NA,0.270639603989619,-1.73191201066238,-3.61161696283375,0.632239587242009
-1,"old_at_reform","Fully funded system",0.2,0.00662450746745946,"informal","informal",FALSE,0.179203096296898,TRUE,NA,0.276123043661558,-1.68057875889644,-3.45787965312418,0.617709997138778
-1,"old_at_reform","Fully funded system",0.21,0.00729235346863131,"informal","informal",FALSE,0.184476074734122,TRUE,NA,0.281767831322173,-1.63033080250551,-3.31068654802987,0.60359571409055
-1,"old_at_reform","Fully funded system",0.22,0.00799798377561329,"informal","informal",FALSE,0.189904208423538,TRUE,NA,0.2875787145706,-1.58116699633873,-3.16975907747484,0.589884867153359
-1,"old_at_reform","Fully funded system",0.23,0.0087396092707509,"informal","informal",FALSE,0.195492062745521,TRUE,NA,0.293560580702155,-1.53308502243794,-3.03483052939976,0.57656592469679
