"outcome","value"
"capital_stock",0.0296807021257429
"informal_share",0.50919432248411
"capitalization_share",0.459624542698933
"payg_share",0.031181134816957
"formal_labor",8.89023504135175
"informal_labor",1.40926294108248
"consumption_tax",0.196117939480497
"period_return",8.32592218570266
"annualized_return",0.0574072765702129
"formal_wage",0.0545033377316407
"young_consumption",0.395225474053577
"old_consumption",0.27038125518729
"voluntary_capital",0.00619881616491277
"funded_capital",0.0234818863064176
"payg_contributions",0.0132763682552028
"payg_benefits",0.0466079481641519
"decision_welfare",-5.4380310017576
"experienced_welfare",-5.93740579779815
"first_threshold",0.469649366332045
"second_threshold",0.771277680282018
"max_fixed_point_residual",1.8023472847517e-07
