"scenario","benefit_multiplier","capital","output","consumption_tax","public_debt_to_annual_gdp","primary_balance_to_gdp","gross_household_assets","voluntary_capital","funded_capital","funded_share_of_assets","government_spending","non_consumption_revenue","consumption_tax_base","public_pension_revenue","formal_wage","informal_share","funded_only_share","payg_only_share","mixed_share","solidarity_beneficiary_share","payg_contributions","payg_benefits","payg_balance","experienced_welfare","max_residual"
"Law 100 competition",2.9,0.0293158462385595,1.01463152366483,0.221369700548944,0.55,0.002,0.0293158534779703,0.00675371222909988,0.0225621412488704,0.769622527477325,0.380228453101399,0.26468142095791,0.531131979674678,0.0317028753878306,0.0547418800941462,0.531824957964062,0.433730500163709,0.034444541872229,0,0,0.0143400133688203,0.0502284531013992,-0.0358884397325789,-5.97437001407112,3.93704546119977e-06
"Law 2381 pillars - central",1,0.0251843525289139,0.871642513651888,0.554356511555153,0.55,0.002,0.0251843123658057,0.0184937521744622,0.00669056019134344,0.265663802694396,0.375771640211349,0.213094808835371,0.296596691317665,0.0425350298796314,0.0609019999227651,0.779480600907122,0,0.0696770961643886,0.150842302928489,0.12611817547607,0.0397439458672035,0.0414687927004521,-0.00172484683324862,-6.2474337572109,4.35810340704279e-06
"Law 2381 pillars - chi 2.9 stress",2.9,0.0274409759551123,0.883663869499218,0.776783248407945,0.55,0.002,0.0274411038676896,0.0197258939963144,0.00771520987137527,0.281155230072923,0.443233009304172,0.21269550068406,0.299056911254204,0.0409175712738541,0.064182232912884,0.795313353611622,0,0.0370941175869034,0.167592528801475,0.126168851328585,0.0376990367552673,0.108928432855593,-0.0712293961003262,-6.33227645330146,4.46762735020201e-05
"Fully funded formal system",0,0.0611255277415877,1.41650762650861,-0.029803549175338,0.55,0.002,0.0611255197737096,0.000289882800090846,0.0608356369736187,0.995257581429753,0.333465554554187,0.366404229661108,1.01013716148843,0,0.0660647876809506,0.101576785205587,0.898423214794413,0,0,0.101576785205587,0,0,0,-4.38642003942665,7.18853659265051e-07
