"cohort","capital","public_debt","output","debt_to_output","formal_labor","informal_labor","consumption_tax","interest_rate","formal_wage","informal_wage","consumption_young","consumption_old","informal_share","formal_share","solidarity_beneficiary_share","funded_only_share","payg_only_share","mixed_share","payg_contributions","payg_benefits","decision_welfare","primary_balance","primary_deficit","debt_identity_residual","rule_primary_balance","fiscal_adjustment","fiscal_rule_residual","experienced_welfare","budget_residual","payg_balance","reported","phase"
10,0.0610566476697699,0.0194769587852529,1.41564344666097,0.550335152009991,11.3083397965387,0.182400508515431,-0.0247804868920885,6.23976797202605,0.0660590570658373,0.0801142830018149,0.562055603454259,0.45698396168424,0.104603689156713,0.895396310843287,0.104603689156713,0.895396310843287,0,0,0,0,-4.11853579858462,0.00283298109538333,-0.00283298109538333,0,0.00283298109538334,-0.00471082007572919,7.09596532921797e-09,-4.41034998973887,0.00754380117111253,0,TRUE,"transition"
11,0.061080632027367,0.0194769745946832,1.41593148048006,0.550223647491182,11.3114137702653,0.180446837534565,-0.0262998764407215,6.23931517317115,0.066062253047318,0.0799894651503947,0.562934713003682,0.457800375591973,0.103684180457609,0.896315819542391,0.103684180457609,0.896315819542391,0,0,0,0,-4.11213978183868,0.00283300671360874,-0.00283300671360874,0,0.00283300671360874,-0.00330016423101977,2.12562564425034e-08,-4.40307918142014,0.00613317094462851,0,TRUE,"transition"
12,0.0610949736642419,0.0194769785470408,1.41610921462046,0.550154701232164,11.3135098794049,0.179112211638306,-0.0273570318975436,6.23912994749759,0.0660635605335515,0.0799026198296168,0.563540501683483,0.458361113422942,0.103055316999041,0.896944683000959,0.103055316999041,0.896944683000959,0,0,0,0,-4.10773931607219,0.00283301311816509,-0.00283301311816509,0,0.00283301311816509,-0.00230831535669867,5.68414361482028e-08,-4.39807730585647,0.00514132847486376,0,TRUE,"transition"
13,0.0611040192096372,0.0194769795351302,1.41622389402906,0.550110180099266,11.314951905686,0.178193298771603,-0.0280938408909618,6.23905285584528,0.06606410473352,0.0798420909708075,0.563960530178203,0.458748716951669,0.10262164178222,0.89737835821778,0.10262164178222,0.89737835821778,0,0,0,0,-4.10468841531018,0.00283301471930418,-0.00283301471930418,0,0.00283301471930418,-0.00161250023066813,1.36739371436878e-07,-4.39461001462337,0.00444551494997231,0,TRUE,"transition"
14,0.0611099845580203,0.0194769797821525,1.41630051704168,0.550080425666592,11.3159494829343,0.177557248117843,-0.0286079197928808,6.23901744035957,0.066064354739782,0.0797998593890148,0.564252925148263,0.459017753738707,0.102320856482268,0.897679143517732,0.102320856482268,0.897679143517732,0,0,0,0,-4.1025648325468,0.00283301511958895,-0.00283301511958895,0,0.00283301511958895,-0.00112507244824433,2.97899287751702e-07,-4.39219700350983,0.00395808756783328,0,TRUE,"transition"
15,0.0611140546890948,0.0194769798439081,1.41635302910895,0.550060032876447,11.3166413574263,0.177115942496236,-0.0289667348007166,6.23899699578897,0.066064499063902,0.0797703827361211,0.564456960009097,0.45920493527759,0.102111484785933,0.897888515214067,0.102111484785933,0.897888515214067,0,0,0,0,-4.10108323362811,0.00283301521966015,-0.00283301521966015,0,0.00283301521966015,-0.000783995612265082,5.91234574791322e-07,-4.39051378603846,0.00361701083192523,0,TRUE,"transition"
16,0.0611169002958314,0.019476979859347,1.41638965082225,0.550045811137922,11.3171211895738,0.176809806558416,-0.029217056273781,6.23898141778097,0.0660646090340823,0.0797498188271089,0.564599476086661,0.459335270161543,0.101965474090134,0.898034525909866,0.101965474090134,0.898034525909866,0,0,0,0,-4.10004859928487,0.00283301524467794,-0.00283301524467794,0,0.00283301524467794,-0.000545591556149523,1.07472230183314e-06,-4.38933862728172,0.00337860680082747,0,TRUE,"transition"
17,0.061118924239457,0.0194769798632068,1.41641549221978,0.55003577608948,11.3174532082062,0.176597941143805,-0.0293913788819212,6.23896727492366,0.0660647088734675,0.0797354982248502,0.56469896377946,0.45942593872855,0.101863641806459,0.898136358193541,0.101863641806459,0.898136358193541,0,0,0,0,-4.09932658341132,0.00283301525093239,-0.00283301525093239,0,0.00283301525093239,-0.000379215187264401,1.79826509821152e-06,-4.38851879712013,0.00321223043819679,0,TRUE,"transition"
18,0.0611203819163413,0.0194769798641717,1.41643387678052,0.550028636943982,11.3176820300803,0.176451912730987,-0.0295123324244511,6.23895368171377,0.0660648048330545,0.0797255618913313,0.564768237360959,0.459488821372501,0.101792758391358,0.898207241608642,0.101792758391358,0.898207241608642,0,0,0,0,-4.09882417517251,0.00283301525249601,-0.00283301525249601,0,0.00283301525249601,-0.000263410769289938,2.78304251159073e-06,-4.38794881080879,0.00309642602178595,0,TRUE,"transition"
19,0.061121442365069,0.0194769798644129,1.41644656947892,0.550023708174973,11.3178173636404,0.176365543589942,-0.029595737400558,6.2389334960752,0.0660649473317208,0.0797187101725442,0.5648168003834,0.459531736949529,0.101748851532233,0.898251148467767,0.101748851532233,0.898251148467767,0,0,0,0,-4.0984339190848,0.00283301525288691,-0.00283301525288691,0,0.00283301525288691,-0.000182879031957202,4.0027481624863e-06,-4.38746878529752,0.00301589428484411,0,TRUE,"transition"
20,0.0611255277415877,0.0194769798644732,1.41650759720068,0.550000011379083,11.3186422308189,0.175905873965416,-0.029803549175338,6.23895611140119,0.0660647876809506,0.079701638435246,0.564938102936324,0.459634553903937,0.101576785205587,0.898423214794413,0.101576785205587,0.898423214794413,0,0,0,0,-4.09747686169392,0.00283301525301721,-0.00283301525301721,0,0.00283301525301721,0,0,-4.38642003942665,0.00283300254066443,0,TRUE,"funded steady state"
