"eligibility_intercept","converged","validated","informal_share","capitalization_share","payg_share","consumption_tax","first_threshold","second_threshold","max_residual"
-10,TRUE,TRUE,0.494336874223805,0.490565735585546,0.0150973901906489,0.132643116432788,0.463533651946147,0.820177238208318,2.81324701489893e-06
-9.75,TRUE,TRUE,0.525296052970358,0.454254940004235,0.0204490070254064,0.160122646957679,0.476284916957631,0.800496310237703,3.18708366187082e-06
-9.6,TRUE,TRUE,0.551834849866066,0.422768483239301,0.0253966668946336,0.185995183849888,0.487264336175353,0.785779346349788,3.57881449453146e-06
