"i","choice","formal","wage","labor_taxes","voluntary_saving","consumption_young","consumption_old","decision_utility","experienced_utility","funded_contribution","funded_public_contribution","payg_contribution","payg_notional_contribution","funded_benefit","payg_benefit","eligibility_probability","eligible_payg_benefit","refund_benefit","utility_informal","utility_capitalization","utility_payg","utility_difference_formal_informal","utility_difference_payg_capitalization"
0.034,"informal",FALSE,0.108443370598041,0,0.0081379684193452,0.0826811640497965,0.105750525266599,-29.2994308150683,-32.2957661102608,0,0,0,0,0,0,0,0,0,-29.2994308150683,-91.3422038869885,-104.277423820772,-62.0427730719202,-12.9352199337835
0.036,"informal",FALSE,0.109074169696556,0,0.00818530578182626,0.083162108191049,0.106365660480839,-29.0456313952911,-32.0160116415894,0,0,0,0,0,0,0,0,0,-29.0456313952911,-90.0795290145913,-102.835796772696,-61.0338976193002,-12.7562677581052
0.038,"informal",FALSE,0.109708638060426,0,0.00823291849876574,0.0836458499134635,0.106984373845928,-28.794030453221,-31.738680480124,0,0,0,0,0,0,0,0,0,-28.794030453221,-88.8343088100864,-101.414097402036,-60.0402783568654,-12.5797885919499
0.04,"informal",FALSE,0.110346797033226,0,0.00828080817185991,0.0841324054901573,0.107606686175442,-28.5446089450626,-31.4637516345367,0,0,0,0,0,0,0,0,0,-28.5446089450626,-87.6063019877412,-100.012050235721,-59.0616930426785,-12.4057482479799
0.042,"informal",FALSE,0.110988668082685,0,0.0083289764121219,0.0846217912889058,0.108232618404026,-28.297347991983,-31.191204295332,0,0,0,0,0,0,0,0,0,-28.297347991983,-86.3952705972526,-98.6293836087499,-58.0979226052696,-12.2341130114974
0.044,"informal",FALSE,0.111634272801404,0,0.00837742483993585,0.0851140237726935,0.108862191588101,-28.0522288786824,-30.9210178332715,0,0,0,0,0,0,0,0,0,-28.0522288786824,-85.2009799776385,-97.2658296115513,-57.1487510989561,-12.0648496339128
0.046,"informal",FALSE,0.112283632907589,0,0.00842615508511145,0.0856091195002675,0.109495426906567,-27.8092330519783,-30.653171797813,0,0,0,0,0,0,0,0,0,-27.8092330519783,-84.0231987117685,-95.9211240380708,-56.2139656597902,-11.8979253263023
0.048,"informal",FALSE,0.112936770245773,0,0.00847516878693872,0.0861070951266948,0.11013234566152,-27.5683421194005,-30.3876459155622,0,0,0,0,0,0,0,0,0,-27.5683421194005,-82.8616985815215,-94.5950063345772,-55.2933564621211,-11.7333077530557
0.05,"informal",FALSE,0.113593706787558,0,0.00852446759424324,0.0866079674039225,0.110772969278967,-27.3295378477992,-30.1244200887383,0,0,0,0,0,0,0,0,0,-27.3295378477992,-81.7162545235647,-93.2872195491756,-54.3867166757655,-11.5709650256109
0.052,"informal",FALSE,0.114254464632353,0,0.00857405316544152,0.0871117531813411,0.111417319309547,-27.0928021619652,-29.8634743936528,0,0,0,0,0,0,0,0,0,-27.0928021619652,-80.5866445857426,-91.9975102820186,-53.4938424237774,-11.410865696276
0.054,"informal",FALSE,0.114919066008112,0,0.00862392716859685,0.0876184694063517,0.112065417429255,-26.8581171432613,-29.6047890792015,0,0,0,0,0,0,0,0,0,-26.8581171432613,-79.4726498840698,-90.7256286362058,-52.6145327408085,-11.252978752136
0.056,"informal",FALSE,0.115587533272089,0,0.00867409128147541,0.0881281331249359,0.112717285440174,-26.6254650282665,-29.3483445653693,0,0,0,0,0,0,0,0,0,-26.6254650282665,-78.3740545603181,-89.4713281693626,-51.7485895320515,-11.0972736090445
0.058,"informal",FALSE,0.116259888911586,0,0.00872454719160268,0.0886407614822294,0.113372945271205,-26.3948282074311,-29.0941214417487,0,0,0,0,0,0,0,0,0,-26.3948282074311,-77.2906457401889,-88.2343658458872,-50.8958175327577,-10.9437201056983
0.06,"informal",FALSE,0.116936155544709,0,0.00877529659632024,0.0891563717230982,0.114032418978806,-26.1661892237441,-28.84210046607,0,0,0,0,0,0,0,0,0,-26.1661892237441,-76.2222134920659,-87.0145019898591,-50.0560242683218,-10.7922884977932
