"cohort","life_stage","policy","mean_wage","wage_p10","wage_p50","wage_p90","wage_gini","aggregate_welfare_cev","mean_individual_welfare_cev","welfare_p10","welfare_p50","welfare_p90","winner_share","loser_share","informal_share","funded_only_share","payg_only_share","mixed_share","reported"
-1,"old_at_reform","Law 2381 pillars",0.6268392897088,0.213261642160366,0.392101125146596,1.28412014265052,0.405242841157195,-0.0360266617333298,-0.096178402285033,-0.151252945131017,-0.151252945131017,0.203547115042671,0.121650279102335,0.878349720897665,0.52218421191703,0.443840503630011,0.0339752844529594,0,TRUE
0,"young_lifetime","Law 100",0.6268392897088,0.213261642160366,0.392101125146596,1.28412014265052,0.405242841157195,0,0,0,0,0,0,0,0.52218421191703,0.443840503630011,0.0339752844529594,0,TRUE
1,"young_lifetime","Law 2381 pillars",0.650933943133499,0.230949773155064,0.424622379294805,1.36808364937841,0.408199215698817,-0.0126077774507088,-0.044694841527841,-0.120504285465896,-0.00765967508263099,0.0239982932338441,0.121650279102335,0.878349720897665,0.663112890595257,0,0.199240782387872,0.137646327016871,TRUE
2,"young_lifetime","Law 2381 pillars",0.625631470124396,0.243603447379482,0.447887322068252,1.30146299776267,0.383740719916865,-0.0235580831571176,-0.0722690008947845,-0.198655667670765,-0.00973493648562695,0.0213481680891128,0.121650279102335,0.878349720897665,0.765898719708789,0,0.109426515512985,0.124674764778226,TRUE
3,"young_lifetime","Law 2381 pillars",0.64554777940814,0.252325503035635,0.463923622838165,1.33822613963255,0.382075947667858,-0.0257014163334265,-0.0748773134099028,-0.204666350800898,-0.0114887640231526,0.0193101119268138,0.121650279102335,0.878349720897665,0.765898719708789,0,0.0964549532743398,0.137646327016871,TRUE
4,"young_lifetime","Law 2381 pillars",0.655795033788774,0.258275945856965,0.474864058735256,1.36652790894361,0.380467223148804,-0.0269809188430307,-0.0761114653108487,-0.204740549983726,-0.0126923622662023,0.0179230269189306,0.121650279102335,0.878349720897665,0.784155899459634,0,0.078197773523495,0.137646327016871,TRUE
5,"young_lifetime","Law 2381 pillars",0.665582215623524,0.262337832488174,0.482332210542496,1.38583059978538,0.380111892420389,-0.0278582421601685,-0.0769555115561569,-0.204832570421679,-0.0135235707958604,0.016971534169482,0.121650279102335,0.878349720897665,0.784155899459634,0,0.078197773523495,0.137646327016871,TRUE
6,"young_lifetime","Law 2381 pillars",0.672282917488046,0.265122033659602,0.487451220228872,1.39902879631898,0.379869038875081,-0.0284646696980121,-0.0775416266090042,-0.204930905249263,-0.0140985848182547,0.0163161211082867,0.121650279102335,0.878349720897665,0.784155899459634,0,0.078197773523495,0.137646327016871,TRUE
7,"young_lifetime","Law 2381 pillars",0.676888591667061,0.267039380912901,0.49097643933391,1.40808126251243,0.379698755018587,-0.0288829465804139,-0.0779436937498429,-0.205028704689743,-0.014498137545218,0.015862277933721,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
8,"young_lifetime","Law 2381 pillars",0.68006937236564,0.268365206874346,0.493414092190583,1.41432433885972,0.379579709664886,-0.0291743952213009,-0.0782252621854274,-0.205110029831892,-0.0147763598754518,0.015547033670966,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
9,"young_lifetime","Law 2381 pillars",0.682273920699816,0.269285003280059,0.495105222400087,1.41864664252252,0.379496368567766,-0.0293777279183383,-0.078422461849205,-0.20517350662215,-0.014970337127916,0.0153276152346107,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
10,"young_lifetime","Law 2381 pillars",0.683805900074405,0.269924666819264,0.496281302593866,1.42164775573306,0.379437967727844,-0.029519597371174,-0.0785604601972382,-0.205221285894889,-0.0151055788897196,0.0151747711724279,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
