"cohort","life_stage","policy","i","weight","choice","pension_class","formal","wage","solidarity_eligible","consumption_young","consumption_old","experienced_utility","baseline_utility","welfare_cev"
-1,"old_at_reform","Law 2381 pillars",0.19,0.00599567615266305,"informal","informal",FALSE,0.170497596901852,TRUE,NA,0.249678226413628,-1.95452775515998,-3.59735759922789,0.501854452167613
-1,"old_at_reform","Law 2381 pillars",0.2,0.00662450746745946,"informal","informal",FALSE,0.175514419549674,TRUE,NA,0.25469900568203,-1.89702027987816,-3.44422727420731,0.488263686768887
-1,"old_at_reform","Law 2381 pillars",0.21,0.00729235346863131,"informal","informal",FALSE,0.180678860169461,TRUE,NA,0.259867519344353,-1.84070777555482,-3.29761531601408,0.475061393495861
-1,"old_at_reform","Law 2381 pillars",0.22,0.00799798377561329,"informal","informal",FALSE,0.185995262360176,TRUE,NA,0.26518811442523,-1.78559008187579,-3.15724425442085,0.462236468441727
-1,"old_at_reform","Law 2381 pillars",0.23,0.0087396092707509,"informal","informal",FALSE,0.19146809752942,TRUE,NA,0.270665265858728,-1.73166571171969,-3.02284843039918,0.449778125088591
-1,"old_at_reform","Law 2381 pillars",0.24,0.0095148556698428,"informal","informal",FALSE,0.197101968654148,TRUE,NA,0.276303580252035,-1.67893189428379,-2.89417349334696,0.437675885235377
-1,"old_at_reform","Law 2381 pillars",0.25,0.010320745845168,"informal","informal",FALSE,0.202901614152046,TRUE,NA,0.282107799759889,-1.62738462024297,-2.77097591971756,0.425919570185041
-1,"old_at_reform","Law 2381 pillars",0.26,0.0111536921182913,"informal","informal",FALSE,0.208871911866819,TRUE,NA,0.288082806073006,-1.57701868869325,-2.65302255213974,0.414499292183687
-1,"old_at_reform","Law 2381 pillars",0.27,0.0120094995825537,"informal","informal",FALSE,0.215017883170746,TRUE,NA,0.294233624523873,-1.52782775563346,-2.54009015815609,0.403405446104387
-1,"old_at_reform","Law 2381 pillars",0.28,0.0128833813113884,"informal","informal",FALSE,0.221344697187946,FALSE,NA,0.221519265245409,-2.33881351421974,-2.43196500774471,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.29,0.0137699860614464,"informal","informal",FALSE,0.227857675141922,FALSE,NA,0.228037379793684,-2.23925619646188,-2.32844246882488,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.3,0.0146634387938913,"informal","informal",FALSE,0.234562294831019,FALSE,NA,0.234747287219285,-2.14393677944252,-2.22932661998088,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.31,0.0155573940198842,"informal","informal",FALSE,0.241464195235578,FALSE,NA,0.24165463094985,-2.05267486655122,-2.13442987967128,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.32,0.0164451016357299,"informal","informal",FALSE,0.248569181260649,FALSE,NA,0.248765220468586,-1.96529774020047,-2.04357265122175,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.33,0.0173194845593781,"informal","informal",FALSE,0.255883228618258,FALSE,NA,0.256085036200391,-1.88164003494934,-1.95658298292969,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.34,0.0181732271241403,"informal","informal",FALSE,0.263412488853338,FALSE,NA,0.263620234541737,-1.80154342454136,-1.87329624263729,0.0263791428641944
